Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum

FCFS     	    30	          0.02	            0.048	    30.216	   0.594	         1.484	      0
FCFS     	    31	          0.02	            0.054	    31.517	   0.625	         1.693	      0
FCFS     	    32	          0.02	            0.055	    32.057	   0.639	          1.76	      0
FCFS     	    33	          0.02	            0.061	    33.168	    0.67	         2.047	      0
FCFS     	    34	          0.02	            0.058	    33.127	   0.664	         1.869	      0
FCFS     	    35	          0.02	            0.062	    34.136	   0.672	         2.131	      0
FCFS     	    36	          0.02	            0.073	    36.227	    0.73	         2.605	      0
FCFS     	    37	          0.02	            0.078	    37.059	   0.742	         2.864	      0
FCFS     	    38	          0.02	            0.079	    37.798	   0.754	         2.982	      0
FCFS     	    39	          0.02	            0.084	     38.65	   0.778	         3.248	      0
FCFS     	    40	          0.02	            0.112	    40.357	   0.809	         4.556	      0
FCFS     	    41	          0.02	            0.122	    41.644	   0.841	         5.094	      0
FCFS     	    42	          0.02	            0.125	    41.632	   0.829	         5.248	      0
FCFS     	    43	          0.02	            0.122	    42.927	   0.852	         5.235	      0
FCFS     	    44	          0.02	            0.182	    44.328	   0.885	         8.042	      0
FCFS     	    45	          0.02	            0.218	    45.438	   0.902	        10.028	      0
FCFS     	    46	          0.02	            0.248	    46.126	   0.917	        11.544	      0
FCFS     	    47	          0.02	            0.275	    47.373	   0.942	        12.921	      0
FCFS     	    48	          0.02	             0.63	    48.542	   0.975	        30.826	      0
FCFS     	    49	          0.02	            1.474	    48.265	    0.99	        71.104	      0
FCFS     	    50	          0.02	            1.864	    49.798	   0.999	        92.827	      0
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum

FCFS     	    30	          0.02	            0.025	    29.504	   0.595	         1.451	      0
FCFS     	    31	          0.02	            0.025	    31.581	   0.623	         1.566	      0
FCFS     	    32	          0.02	             0.03	    32.478	   0.656	          1.97	      0
FCFS     	    33	          0.02	             0.03	    32.987	   0.655	         2.028	      0
FCFS     	    34	          0.02	            0.033	    34.131	   0.688	         2.247	      0
FCFS     	    35	          0.02	            0.032	    34.955	   0.695	         2.248	      0
FCFS     	    36	          0.02	            0.034	     36.22	   0.722	         2.434	      0
FCFS     	    37	          0.02	            0.036	    36.585	    0.72	         2.653	      0
FCFS     	    38	          0.02	            0.039	    37.453	   0.746	         2.938	      0
FCFS     	    39	          0.02	            0.048	    38.762	    0.78	         3.786	      0
FCFS     	    40	          0.02	            0.053	    40.383	   0.807	         4.275	      0
FCFS     	    41	          0.02	            0.052	    41.016	   0.814	         4.232	      0
FCFS     	    42	          0.02	            0.056	    42.074	    0.83	         4.704	      0
FCFS     	    43	          0.02	            0.083	     43.65	   0.881	         7.239	      0
FCFS     	    44	          0.02	            0.072	    43.813	   0.868	         6.323	      0
FCFS     	    45	          0.02	            0.117	     44.94	   0.911	         10.41	      0
FCFS     	    46	          0.02	            0.103	    45.506	   0.917	         9.351	      0
FCFS     	    47	          0.02	            0.296	    47.384	   0.964	        28.169	      0
FCFS     	    48	          0.02	            0.275	    48.175	   0.971	        26.146	      0
FCFS     	    49	          0.02	             0.27	    48.741	   0.973	        26.386	      0
FCFS     	    50	          0.02	            0.337	    49.388	   0.983	        33.215	      0
