Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum

FCFS     	     1	          0.06	            0.063	      1.01	    0.06	         0.067	      0
FCFS     	     2	          0.06	            0.069	     2.008	   0.121	         0.143	      0
FCFS     	     3	          0.06	            0.071	     2.988	   0.177	         0.212	      0
FCFS     	     4	          0.06	            0.079	     4.012	   0.241	         0.313	      0
FCFS     	     5	          0.06	            0.087	      4.97	   0.301	         0.425	      0
FCFS     	     6	          0.06	            0.093	     5.971	   0.361	         0.553	      0
FCFS     	     7	          0.06	            0.102	     7.018	   0.418	         0.726	      0
FCFS     	     8	          0.06	            0.113	     7.999	   0.475	         0.936	      0
FCFS     	     9	          0.06	             0.13	     9.125	   0.545	         1.174	      0
FCFS     	    10	          0.06	            0.159	    10.248	   0.618	         1.637	      0
FCFS     	    11	          0.06	            0.169	    10.847	    0.66	         1.784	      0
FCFS     	    12	          0.06	            0.219	    11.837	   0.726	         2.607	      0
FCFS     	    13	          0.06	            0.278	    13.086	   0.793	         3.619	      0
FCFS     	    14	          0.06	            0.338	    13.942	   0.821	         4.807	      0
FCFS     	    15	          0.06	            0.504	    14.918	   0.899	         7.398	      0
FCFS     	    16	          0.06	            1.662	    15.986	   0.969	         26.71	      0
FCFS     	    17	          0.06	            3.764	    16.649	     1.0	        62.715	      0
FCFS     	    18	          0.06	           22.929	     16.53	   0.999	       410.511	      0
FCFS     	    19	          0.06	           36.849	    16.753	     1.0	        696.29	      0
FCFS     	    20	          0.06	           49.312	    16.582	   0.999	       976.358	      0
FCFS     	    21	          0.06	           61.267	    16.681	     1.0	      1278.382	      0
FCFS     	    22	          0.06	           69.708	    16.758	     1.0	      1534.673	      0
FCFS     	    23	          0.06	           87.593	    16.342	     1.0	      1984.836	      0
FCFS     	    24	          0.06	           93.826	    16.639	     1.0	      2247.628	      0
FCFS     	    25	          0.06	          104.253	    16.683	     1.0	      2617.809	      0
FCFS     	    26	          0.06	          107.571	    16.717	     1.0	      2800.423	      0
FCFS     	    27	          0.06	          115.669	    16.713	     1.0	      3109.608	      0
FCFS     	    28	          0.06	           121.65	    16.758	     1.0	       3413.91	      0
FCFS     	    29	          0.06	          120.317	    16.941	   0.999	      3443.012	      0
FCFS     	    30	          0.06	           135.74	    16.687	     1.0	      4121.002	      0
Scheduler	Lambda	AvgServiceTime	AvgTurnaroundTime	Throughput	CPU Util	Avg#ProcReadyQ	Quantum

SRTF     	     1	          0.06	            0.062	     1.002	    0.06	         0.064	      0
SRTF     	     2	          0.06	            0.064	     1.981	   0.119	         0.129	      0
SRTF     	     3	          0.06	            0.067	     3.012	   0.181	         0.201	      0
SRTF     	     4	          0.06	            0.068	     4.067	    0.24	         0.274	      0
SRTF     	     5	          0.06	            0.072	     5.031	   0.304	         0.359	      0
SRTF     	     6	          0.06	            0.075	     5.962	   0.359	         0.443	      0
SRTF     	     7	          0.06	             0.08	     6.925	   0.418	         0.551	      0
SRTF     	     8	          0.06	            0.082	     8.014	   0.474	         0.662	      0
SRTF     	     9	          0.06	            0.088	     9.007	   0.525	         0.812	      0
SRTF     	    10	          0.06	            0.095	     9.932	   0.595	          0.93	      0
SRTF     	    11	          0.06	            0.108	    11.098	   0.674	         1.185	      0
SRTF     	    12	          0.06	            0.109	    12.032	   0.711	         1.304	      0
SRTF     	    13	          0.06	            0.126	     12.79	   0.765	         1.598	      0
SRTF     	    14	          0.06	            0.155	    13.847	   0.837	         2.139	      0
